ID,Name,Lat,Long,Origin,ICAO
3411,Barter Island LRRS Airport,70.13400268550001,-143.582000732,BTI,PABA
3413,Cape Lisburne LRRS Airport,68.87509918,-166.1100006,LUR,PALU
3414,Point Lay LRRS Airport,69.73290253,-163.00500490000002,PIZ,PPIZ
3415,Hilo International Airport,19.721399307250977,-155.04800415039062,ITO,PHTO
3416,Orlando Executive Airport,28.545499801635998,-81.332901000977,ORL,KORL
3417,Bettles Airport,66.91390228,-151.529007,BTT,PABT
3418,Clear Airport,64.301201,-149.119995,Z84,PACL
3419,Indian Mountain LRRS Airport,65.99279785,-153.7039948,UTO,PAIM
3420,Fort Yukon Airport,66.57150268554689,-145.25,FYU,PFYU
3421,Sparrevohn LRRS Airport,61.09740067,-155.5740051,SVW,PASV
3422,Bryant Army Heliport,61.26639938,-149.6529999,FRN,PAFR
3423,Tatalina LRRS Airport,62.894401550299996,-155.977005005,TLJ,PATL
3424,Cape Romanzof LRRS Airport,61.78030014,-166.03900149999998,CZF,PACZ
3425,Laurence G Hanscom Field,42.47000122,-71.28900146,BED,KBED
3426,St Paul Island Airport,57.16730117797852,-170.22000122070312,SNP,PASN
3427,Cape Newenham LRRS Airport,58.6464004517,-162.06300354,EHM,PAEH
3428,St George Airport,56.5783004761,-169.662002563,STG,PAPB
3429,Iliamna Airport,59.75439835,-154.9109955,ILI,PAIL
3430,Platinum Airport,59.01139831542969,-161.82000732421875,PTU,PAPM
3431,Big Mountain Airport,59.361198425299996,-155.259002686,BMX,PABM
3432,Oscoda Wurtsmith Airport,44.45159912,-83.39409637,OSC,KOSC
3433,Marina Municipal Airport,36.68190002,-121.762001,OAR,KOAR
3434,Sacramento Mather Airport,38.55390167,-121.29799650000001,MHR,KMHR
3435,Bicycle Lake Army Air Field,35.2804985046,-116.629997253,BYS,KBYS
3436,Twentynine Palms (Self) Airport,34.2961998,-116.16200259999998,NXP,KNXP
3437,Fort Smith Regional Airport,35.33660125732422,-94.36740112304688,FSM,KFSM
3438,Merrill Field,61.2135009765625,-149.843994140625,MRI,PAMR
3439,Grants-Milan Municipal Airport,35.167301178,-107.902000427,GNT,KGNT
3440,Ponca City Regional Airport,36.73199844,-97.09980011,PNC,KPNC
3441,Hunter Army Air Field,32.00999832,-81.14569855,SVN,KSVN
3442,Grand Forks International Airport,47.949298999999996,-97.176102,GFK,KGFK
3443,Grider Field,34.173099517800004,-91.9356002808,PBF,KPBF
3444,Whiting Field Naval Air Station - North,30.724199300000002,-87.02189636,NSE,KNSE
3445,Hana Airport,20.79560089111328,-156.01400756835938,HNM,PHHN
3446,Ernest A. Love Field,34.65449905,-112.41999820000001,PRC,KPRC
3447,Trenton Mercer Airport,40.27669906616211,-74.8134994506836,TTN,KTTN
3448,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,BOS,KBOS
3449,Travis Air Force Base,38.262699127196996,-121.92700195312,SUU,KSUU
3450,Griffiss International Airport,43.23379898,-75.40699768,RME,KRME
