,Origin,Percent,ID,Name,Lat,Long,ICAO
0,ABE,0.07244640359334162,4355,Lehigh Valley International Airport,40.652099609375,-75.44080352783203,KABE
1,ABI,0.0367804818243119,3718,Abilene Regional Airport,32.4113006592,-99.68190002440001,KABI
2,ABQ,0.2708380934335694,4019,Albuquerque International Sunport Airport,35.04019927978516,-106.60900115966795,KABQ
3,ABR,0.011702880580462876,5714,Aberdeen Regional Airport,45.44910049438477,-98.42179870605469,KABR
4,ABY,0.014489280718668323,5715,Southwest Georgia Regional Airport,31.535499572753906,-84.19450378417969,KABY
5,ACT,0.025077601243849022,3700,Waco Regional Airport,31.61129951477051,-97.23049926757812,KACT
6,ACV,0.015046560746309414,4384,Arcata Airport,40.97809982299805,-124.10900115966795,KACV
7,ACY,0.0417960020730817,3524,Atlantic City International Airport,39.45759963989258,-74.57720184326172,KACY
8,ADK,0.0005572800276410893,5959,Adak Airport,51.87799835205078,-176.64599609375,PADK
9,ADQ,0.006130080304051984,3531,Kodiak Airport,57.75,-152.4940033,PADQ
10,AEX,0.04792608237713369,3852,Alexandria International Airport,31.32740020751953,-92.54979705810548,KAEX
11,AGS,0.07467552370390598,3658,Augusta Regional At Bush Field,33.36989974975586,-81.9645004272461,KAGS
12,ALB,0.20730817028248527,3864,Albany International Airport,42.74829864501953,-73.80169677734375,KALB
13,ALO,0.016161120801591593,5718,Waterloo Regional Airport,42.55709838867188,-92.40029907226562,KALO
14,AMA,0.04904064243241587,3840,Rick Husband Amarillo International Airport,35.219398498535156,-101.70600128173828,KAMA
15,ANC,0.12427344616396292,3774,Ted Stevens Anchorage International Airport,61.174400329589844,-149.99600219726562,PANC
16,APN,0.011702880580462876,5720,Alpena County Regional Airport,45.07809829999999,-83.56030273,KAPN
17,ASE,0.17554320870694315,7001,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,KASE
18,ATL,4.803753838266191,3682,Hartsfield Jackson Atlanta International Airport,33.63669967651367,-84.4281005859375,KATL
19,ATW,0.052384322598262395,4047,Appleton International Airport,44.258098602299995,-88.51909637450001,KATW
20,AUS,0.8431646818209682,3673,Austin Bergstrom International Airport,30.194499969482425,-97.6698989868164,KAUS
21,AVL,0.11925792591519313,4007,Asheville Regional Airport,35.43619918823242,-82.54180145263672,KAVL
22,AVP,0.06074352301287873,4286,Wilkes Barre Scranton International Airport,41.338500976599995,-75.72339630130001,KAVP
23,AZA,0.06520176323400746,6505,Phoenix-Mesa-Gateway Airport,33.30780029,-111.6549988,KIWA
24,AZO,0.046254242294210414,4039,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,KAZO
25,BDL,0.3672475382154779,3825,Bradley International Airport,41.9388999939,-72.68319702149999,KBDL
26,BET,0.00891648044225743,3599,Bethel Airport,60.77980042,-161.8379974,PABE
27,BFF,0.0,5723,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,KBFF
28,BFL,0.030650401520259912,3558,Meadows Field,35.43360138,-119.0569992,KBFL
29,BGM,0.011145600552821787,4129,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,KBGM
30,BGR,0.04235328210072279,3463,Bangor International Airport,44.80739974975586,-68.82810211181639,KBGR
31,BHM,0.22179745100115358,3811,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,KBHM
32,BIL,0.04235328210072279,4021,Billings Logan International Airport,45.807701110839844,-108.54299926757812,KBIL
33,BIS,0.04235328210072279,4083,Bismarck Municipal Airport,46.77270126342773,-100.74600219726562,KBIS
34,BJI,0.017275680856873768,4287,Bemidji Regional Airport,47.50939941,-94.93370056,KBJI
35,BLI,0.03733776185195299,3777,Bellingham International Airport,48.79280090332031,-122.53800201416016,KBLI
36,BLV,0.016161120801591593,3790,Scott AFB/Midamerica Airport,38.5452,-89.835197,KBLV
