Table 25.,,,,,,,,,,,,,,,,
NONIMMIGRANT ADMISSIONS BY CLASS OF ADMISSION: FISCAL YEARS 2007 TO 2016,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Class of admission,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,
Total all admissions 1,"171,300,000","175,400,000","162,600,000","159,700,000","158,500,000","165,500,000","173,100,000","180,500,000","181,300,000","178,700,000",,,,,,
Total I-94 admissions 2,"37,149,651","39,381,928","36,231,554","46,471,569","53,082,286","53,887,286","61,052,260","74,930,606","76,638,236","76,786,751",,,,,,
Temporary workers and families,"1,932,075","1,949,695","1,703,697","2,816,485","3,385,775","3,049,419","2,996,743","3,398,961","3,722,543","3,896,674",,,,,,
Temporary workers and trainees,"1,118,138","1,101,938","936,272","1,682,111","2,092,028","1,900,582","1,853,915","2,095,175","2,306,962","2,420,840",,,,,,
CNMI-only transitional workers (CW1),X,X,X,-,-,D,"1,642","4,045","5,096","7,609",,,,,,
Spouses and children of CW1 (CW2),X,X,X,-,-,-,404,777,883,989,,,,,,
Temporary workers in specialty occupations (H1B),"461,730","409,619","339,243","454,757","494,565","473,015","474,355","511,773","537,450","534,365",,,,,,
Chile and Singapore Free Trade Agreement aliens (H1B1),170,153,213,163,30,D,8,29,93,268,,,,,,
Registered nurses participating in the Nursing Relief for Disadvantaged Areas (H1C),49,170,231,295,124,29,7,D,-,7,,,,,,
Agricultural workers (H2A) 3,"87,316","173,103","149,763","139,403","188,411","183,860","204,577","240,620","283,580","348,052",,,,,,
Nonagricultural workers (H2B),"75,727","104,618","56,381","69,395","79,794","82,906","104,984","105,413","120,207","119,446",,,,,,
Returning H2B workers (H2R) 4,"79,168","5,003",162,104,68,15,9,D,12,11,,,,,,
Trainees (H3),"5,540","6,156","4,168","3,078","3,279","4,081","4,117","4,306","3,514","2,786",,,,,,
"Spouses and children of H1, H2, or H3 (H4)","144,136","122,423","105,429","141,571","155,936","156,668","163,786","184,045","205,521","206,180",,,,,,
Workers with extraordinary ability or achievement (O1),"36,184","41,238","45,600","49,995","51,775","53,941","66,604","83,001","93,086","101,930",,,,,,
Workers accompanying and assisting in performance of O1 workers (O2),"10,349","12,497","12,966","13,989","15,949","16,670","20,762","24,190","26,593","28,659",,,,,,
Spouses and children of O1 and O2 (O3),"5,377","6,386","6,533","6,764","6,985","6,853","8,238","9,940","11,733","13,553",,,,,,
Internationally recognized athletes or entertainers (P1),"53,050","57,030","54,432","72,915","84,545","84,209","85,583","95,470","99,351","98,998",,,,,,
Artists or entertainers in reciprocal exchange programs (P2),"4,835","4,358","4,028","11,213","13,359","12,826","12,306","13,808","14,292","13,285",,,,,,
